dataset,model,method,attack,scope,rank,metric,seed_count,seeds,status,mean,sample_std
thubenchmark,conformer,fbf,fgsm,full_test,raw,robust,5,"42,43,44,45,46",complete,0.679099340110576,0.058114309658221175
thubenchmark,conformer,fbf,pgd,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9395131086142322,0.01094640073539475
thubenchmark,conformer,fbf,pgd,full_test,raw,robust,5,"42,43,44,45,46",complete,0.5715230961298376,0.06387022395113501
thubenchmark,conformer,fbf,cw,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9395131086142322,0.01094640073539475
thubenchmark,conformer,fbf,cw,full_test,raw,robust,5,"42,43,44,45,46",complete,0.0,0.0
thubenchmark,conformer,ea_forward,autoattack,full_test,raw,clean,5,"42,43,44,45,46",complete,0.5833690030319244,0.5103044274242035
thubenchmark,conformer,ea_forward,autoattack,full_test,raw,robust,5,"42,43,44,45,46",complete,0.12701177100053504,0.10340942720896036
thubenchmark,conformer,ea_forward,fgsm,full_test,raw,clean,5,"42,43,44,45,46",complete,0.5838567861601569,0.511828808348362
thubenchmark,conformer,ea_forward,fgsm,full_test,raw,robust,5,"42,43,44,45,46",complete,0.35479222400570715,0.311199077479625
thubenchmark,conformer,ea_forward,pgd,full_test,raw,clean,5,"42,43,44,45,46",complete,0.5838567861601569,0.511828808348362
thubenchmark,conformer,ea_forward,pgd,full_test,raw,robust,5,"42,43,44,45,46",complete,0.10401016586409845,0.08438342629305962
thubenchmark,conformer,ea_forward,cw,full_test,raw,clean,5,"42,43,44,45,46",complete,0.5838567861601569,0.511828808348362
thubenchmark,conformer,ea_forward,cw,full_test,raw,robust,5,"42,43,44,45,46",complete,0.004047619047619048,0.00905075133749915
thubenchmark,conformer,rpcf_at,autoattack,full_test,raw,clean,5,"42,43,44,45,46",complete,0.934693240592117,0.004891148484276138
thubenchmark,conformer,rpcf_at,autoattack,full_test,raw,robust,5,"42,43,44,45,46",complete,0.7338781879793116,0.022231950579386275
thubenchmark,conformer,rpcf_at,fgsm,full_test,raw,clean,5,"42,43,44,45,46",complete,0.934693240592117,0.004891148484276138
thubenchmark,conformer,rpcf_at,fgsm,full_test,raw,robust,5,"42,43,44,45,46",complete,0.7816416978776529,0.01988354964696653
thubenchmark,conformer,rpcf_at,pgd,full_test,raw,clean,5,"42,43,44,45,46",complete,0.934693240592117,0.004891148484276138
thubenchmark,conformer,rpcf_at,pgd,full_test,raw,robust,5,"42,43,44,45,46",complete,0.7418048867487069,0.019786462950875355
thubenchmark,conformer,rpcf_at,cw,full_test,raw,clean,5,"42,43,44,45,46",complete,0.934693240592117,0.004891148484276138
thubenchmark,conformer,rpcf_at,cw,full_test,raw,robust,5,"42,43,44,45,46",complete,0.0,0.0
thubenchmark,tcnet,madry,autoattack,full_test,raw,clean,5,"42,43,44,45,46",complete,0.833661494560371,0.014513236553370595
thubenchmark,tcnet,madry,autoattack,full_test,raw,robust,5,"42,43,44,45,46",complete,0.43220527911539147,0.031312231166016814
thubenchmark,tcnet,madry,fgsm,full_test,raw,clean,5,"42,43,44,45,46",complete,0.833661494560371,0.014513236553370595
thubenchmark,tcnet,madry,fgsm,full_test,raw,robust,5,"42,43,44,45,46",complete,0.5499500624219725,0.022586974842125795
