comparison,dataset,model,method,attack,scope,rank,metric,seed_count,mean_delta_pp,sample_std_pp,positive_seeds
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,cw,subset_n512,30,clean,5,0.234375,0.32093118603818327,2
tnp_minus_same_subset_raw,thubenchmark,eegnet,rpcf_at,cw,subset_n512,30,clean,5,-2.03125,0.40500862018218203,0
rpcf_minus_madry,thubenchmark,eegnet,rpcf_at,cw,subset_n512,30,robust,5,0.234375,2.1279204999945076,2
tnp_minus_same_subset_raw,thubenchmark,eegnet,rpcf_at,cw,subset_n512,30,robust,5,18.9453125,1.7304731588544287,5
tnp_minus_same_subset_raw,thubenchmark,deepconvnet,madry,autoattack,subset_n512,25,clean,5,-3.125,0.9862797791369217,0
tnp_minus_same_subset_raw,thubenchmark,deepconvnet,madry,autoattack,subset_n512,25,robust,5,5.5078125,0.9804609685946197,5
tnp_minus_same_subset_raw,thubenchmark,deepconvnet,madry,autoattack,subset_n512,30,clean,5,-2.265625,1.0204961310635259,0
tnp_minus_same_subset_raw,thubenchmark,deepconvnet,madry,autoattack,subset_n512,30,robust,5,4.765625,1.2165946486247998,5
tnp_minus_same_subset_raw,thubenchmark,deepconvnet,madry,fgsm,subset_n512,25,clean,5,-3.125,0.9862797791369217,0
tnp_minus_same_subset_raw,thubenchmark,deepconvnet,madry,fgsm,subset_n512,25,robust,5,0.859375,0.40500862018218203,5
tnp_minus_same_subset_raw,thubenchmark,deepconvnet,madry,fgsm,subset_n512,30,clean,5,-2.265625,1.0204961310635259,0
tnp_minus_same_subset_raw,thubenchmark,deepconvnet,madry,fgsm,subset_n512,30,robust,5,0.78125,1.060818407343771,4
tnp_minus_same_subset_raw,thubenchmark,deepconvnet,madry,pgd,subset_n512,25,clean,5,-3.125,0.9862797791369217,0
